CustomerId,recency,frequency,total_value
12704,7,8,292.6
12707,291,1,603.4
12710,96,3,383
12711,611,2,669.5
12715,106,1,353.9
12716,3,2,526.7
12717,151,3,436.3
12718,71,1,238.2
12719,5,2,322.5
12721,31,8,501.6
12722,85,4,249.4
12723,3,5,145
12724,5,7,331.1
12725,371,4,673.6
12726,28,11,365
12727,10,10,568
12728,71,5,214
12729,113,1,453
12732,179,1,236.3
12734,352,3,213.2
12735,315,2,389.8
12736,332,1,234
12738,372,1,310.7
12740,63,1,427.6
12745,486,2,361.9
12746,540,1,254.6
12749,3,9,766.4
12750,128,1,275.9
12751,444,1,268.3
12756,86,1,112.1
12757,15,13,604.4
12763,138,2,407.1
12771,485,1,282.3
12773,564,1,124.2
12776,667,1,55.5
12777,457,1,519.5
12779,37,14,480.2
12782,4,11,419.8
12783,2,6,371
12784,9,3,601.6
12785,364,3,366.8
12792,256,2,413.5
12793,334,3,339.1
12794,53,2,430.2
12795,18,1,430.5
12797,365,2,403.1
12799,529,1,219.3
12800,470,3,194.8
12807,383,1,330.3
12808,36,5,181.2
12809,177,3,585.3
12810,534,2,267.5
12811,260,5,206.8
12812,44,1,229.6
12814,101,1,125.9
12815,147,2,531.7
12816,95,2,286.1
12817,281,3,230.3
12819,458,1,540.5
12820,3,11,244.5
12821,214,2,110.4
12822,70,2,474.4
12824,59,1,397.1
12825,521,2,259.3
12826,2,12,246.3
12827,5,3,143.4
12828,2,6,169.8
12829,336,3,128.4
12831,262,3,150.4
12832,32,2,191.5
12833,145,1,417.4
12834,282,1,312.4
12836,59,15,439
12837,173,2,344.2
12838,33,10,339.8
12840,143,7,577.4
12842,70,4,479.5
12844,29,4,162.2
12845,267,4,88.5
12846,682,1,15.6
12848,675,1,208
12849,31,6,515.1
12850,445,1,330
12851,96,2,142.1
12852,294,1,311.6
12853,134,11,355.2
12854,78,7,427.7
12855,372,4,162.7
12856,7,6,363.3
12857,210,6,614.7
12858,383,1,177.9
12859,458,1,575.1
12860,693,1,55.5
12861,619,1,68.2
12862,425,2,504.2
12863,52,6,465.4
12864,138,2,149.8
12866,283,3,409.1
12867,26,13,608.7
12868,185,8,280.9
12869,681,1,337.7
12870,375,3,559
12871,84,3,248
12872,326,12,307.1
12873,282,3,675.8
12874,385,2,474.2
12875,143,5,271.4
12878,236,2,427.5
12879,44,3,191.1
12880,381,2,320.1
12881,275,1,298
12882,9,2,731.5
12883,24,4,175.9
12884,88,1,309
12885,63,3,391.7
12886,67,2,689.2
12887,383,1,222.4
12888,214,2,177.1
12889,381,4,96.4
12890,24,2,358.6
12891,185,11,76.4
12892,396,1,263.4
12893,30,1,188.1
12894,575,1,157.3
12895,42,2,186.4
12897,204,4,128.6
12898,463,2,155.5
12899,413,1,366.4
12900,422,1,340.3
12902,264,1,138.7
12904,18,2,254.8
12905,576,2,509.2
12906,11,5,584
12907,395,2,254.5
12908,176,5,355.2
12909,39,8,387.9
12910,23,13,445.9
12912,2,5,332.5
12913,4,13,515.5
12914,400,1,224
12915,148,4,293.7
12916,138,7,664.9
12917,128,6,726.5
12919,8,6,222.5
12920,17,4,122
12922,161,1,405.4
12923,64,3,263.3
12924,88,12,205.8
12925,4,3,243.1
12926,411,4,387.1
12927,394,1,197.3
12928,35,12,358.7
12929,311,1,117.8
12930,78,2,207.9
12932,539,8,212.3
12933,24,8,210.9
12934,736,1,181.7
12935,2,15,282.9
12936,17,4,266
12937,15,9,344.2
12938,25,1,114.1
12940,54,2,456.8
12941,724,1,377.5
12942,131,3,314.2
12943,558,2,248.2
12944,35,2,302.3
12945,288,2,450.1
12946,436,1,324.4
12947,143,6,318
12948,16,9,257.5
12950,2,3,614.3
12951,8,15,214.2
12952,5,4,346.9
12953,9,2,414.4
12954,638,1,162.4
12955,1,11,432.5
12956,306,4,130.5
12957,9,13,669.8
12958,400,2,269.7
12959,484,1,150.9
12960,413,4,330.5
12961,379,1,212
12962,7,2,133.2
12963,8,12,300.1
12964,437,1,132.2
12965,89,1,771.9
12966,9,1,160.2
12968,112,1,135.9
12969,602,1,122.4
12970,7,10,152.5
12972,413,4,290.3
12973,413,1,385.6
12974,197,2,204.5
12975,436,6,350
12976,211,8,394.5
12977,156,4,129.4
12978,385,5,500.6
12981,29,2,186.1
12982,242,8,343.1
12983,598,1,490.1
12984,18,1,97.5
12985,0,2,619.7
12986,428,10,273
12987,73,5,262.4
12988,292,1,535.3
12990,31,7,136.5
12991,23,3,254.9
12992,725,1,93.4
12993,23,8,157.5
12994,4,3,324.8
12995,85,1,211.3
12996,375,1,355.5
12997,22,8,263.9
12998,492,3,306.7
12999,196,3,152
13000,106,4,258.1
13002,318,3,138
13003,105,3,49.7
13005,173,4,249.9
13006,56,1,81.6
13007,579,1,175.2
13008,323,3,204
13009,672,1,234
13010,374,2,165.1
13011,372,1,101.1
13012,9,11,270.3
13014,10,11,489.2
13015,53,11,598.8
13016,73,3,263.3
13017,7,1,204
13019,379,6,205
13020,562,2,309.5
13022,429,1,65.3
13023,64,3,483
13024,470,2,277.9
13025,731,1,323.4
13026,1,9,192.6
13028,22,2,330.7
13029,30,5,385.5
13030,11,2,613.6
13031,407,5,683.9
13032,52,9,316
13033,357,2,110.3
13034,54,3,307.6
13035,73,3,454.7
13036,684,1,307.1
13037,138,12,326.2
13038,80,3,302.8
13039,584,4,252.7
13040,8,2,338.5
13041,450,4,199.8
13042,598,3,518.8
13043,273,1,516.4
13044,291,11,441.3
13045,99,3,269.6
13046,30,3,316.4
13048,14,9,453.8
13049,64,4,352.1
13051,578,2,77.9
13052,212,7,452.6
13053,621,1,127.6
13055,78,4,580.3
13056,551,1,209.5
13057,530,3,240.7
13058,24,3,90.5
13059,249,10,230.3
13060,253,1,307.5
13061,72,1,248.6
13062,191,1,347
13063,480,1,188.4
13064,12,6,280.1
13065,373,5,252.2
13066,24,2,235.4
13067,82,3,169.5
13068,10,2,172
13070,192,4,187.9
13071,612,1,129.2
13072,266,1,177.2
13073,411,2,209
13074,511,4,344.7
13076,457,1,135.4
13077,1,11,278.6
13079,4,6,69.9
13080,179,4,70.2
13083,4,3,131.8
13084,491,1,122.4
13085,157,8,304.2
13086,382,1,439.3
13087,726,1,313.6
13088,417,1,236.1
13091,28,3,773.9
13092,70,12,178.4
13094,21,13,187.2
13095,70,1,74.4
13096,394,1,419.7
13099,99,1,207.4
13101,234,4,173.8
13103,39,3,236.5
13104,3,9,189.9
13105,436,1,72
13106,133,2,301.7
13107,44,9,583.7
13108,372,2,549.3
13109,59,3,378
13110,31,12,246.5
13111,718,1,321.9
13112,541,1,20.6
13114,730,1,234.4
13115,11,10,549.5
13116,138,1,501.1
13118,19,9,268.4
13119,668,1,134.9
13120,238,1,30.6
13121,269,1,283.7
13122,94,2,461.2
13123,472,2,253.4
13125,523,1,158.6
13126,4,13,307.6
13127,77,1,259.2
13128,631,1,263.5
13129,452,2,116.6
13130,94,1,64
13131,23,7,473.4
13132,261,1,77.3
13133,273,3,66.8
13134,85,6,412.5
13136,56,13,482.7
13138,22,7,209.6
13140,108,5,243.1
13142,19,1,307.1
13143,584,1,405.1
13144,332,2,67.7
13145,39,7,203.4
13146,26,1,228.9
13147,10,4,178.2
13149,14,4,419
13150,484,3,150
13152,417,7,306.6
13153,5,1,486.2
13154,399,3,541.6
13155,33,6,291.7
13156,385,3,528.8
13157,49,9,631.9
13158,94,5,301.6
13159,8,4,359.5
13160,22,1,91.8
13161,313,2,239.4
13163,610,1,17.6
13164,569,2,186.1
13165,46,3,483.7
13166,283,2,442.1
13167,18,5,225
13168,36,5,375.1
13169,63,3,280
13170,26,1,116
13171,21,3,156.1
13172,400,1,69.6
13173,4,11,239.9
13175,582,2,415.7
13176,46,1,492.8
13177,64,2,256.1
13179,618,1,572.3
13180,607,1,86.1
13181,381,1,359.7
13182,45,1,121.2
13183,7,15,469.1
13184,14,10,170.1
13185,267,1,71.4
13186,39,3,525.3
13187,337,4,91.8
13188,11,1,114.6
13189,18,2,130.3
13190,544,3,190.2
13191,658,1,164.7
13192,95,6,426.4
13193,61,1,117.9
13194,135,2,236.4
13195,414,1,172.4
13196,11,7,438.4
13197,609,1,373
13198,10,8,621.8
13200,19,4,217.5
13201,502,4,310.2
13202,394,7,225.8
13203,9,10,264.8
13206,400,13,644.4
13207,15,4,134
13208,58,9,220.9
13209,30,13,654.6
13210,93,1,353.5
13211,10,10,272.9
13212,19,3,262.7
13213,56,11,350.1
13214,417,7,466.3
13215,402,1,81.6
13216,267,1,333.7
13217,122,4,166.6
13218,127,1,62.6
13219,618,1,76.2
13220,78,5,267.2
13221,240,2,423.7
13222,577,1,88.5
13223,200,6,161.5
13226,273,2,156.2
13227,201,1,257.7
13228,81,1,358
13229,225,1,160.9
13232,12,7,193.9
13233,74,4,294.1
13234,672,2,178.5
13236,24,2,372.4
13237,387,1,643
13238,17,6,167.8
13239,261,5,318.9
13240,96,8,217.3
13241,411,1,115.6
13242,112,7,99.9
13243,203,5,255.6
13244,92,1,121.7
13245,50,2,494.6
13246,18,11,307.9
13247,17,4,125.3
13248,124,2,232.8
13249,92,9,178.8
13250,460,2,128
13251,402,1,252.7
13252,394,2,199.7
13253,156,4,737.8
13254,376,1,51.4
13255,9,3,301.5
13257,436,1,149.8
13258,11,5,207
13259,61,9,159.3
13260,61,1,557.6
13261,268,2,472
13262,263,3,191.2
13264,442,1,722.6
13265,53,5,421.5
13268,17,11,292.2
13271,37,1,217.4
13272,31,2,138.3
13273,113,1,139
13274,409,1,360.9
13275,383,2,120.8
13276,63,5,387.9
13277,15,7,74.8
13278,40,4,359
13279,78,1,137.8
13280,122,7,331.8
13281,439,1,350.9
13282,18,4,328.3
13283,59,4,93.3
13284,330,1,201.2
13285,23,6,560.8
13286,600,1,734.9
13287,603,3,260.5
13288,443,5,185.5
13289,723,1,308
13290,438,1,208.6
13291,155,11,301.9
13292,38,5,198.9
13293,392,6,198.8
13294,189,3,563.2
13295,359,4,275.5
13296,137,6,132.1
13297,7,7,624.1
13298,1,1,360
13299,268,3,406.2
13300,169,3,428.5
13301,103,4,154.5
13302,155,2,79.6
13303,400,1,61.7
13304,351,4,304.5
13306,430,1,53.6
13307,120,3,91.1
13308,22,4,417.6
13309,7,6,284.4
13310,28,5,308.2
13311,4,2,299.3
13312,451,1,124.8
13313,22,12,287.1
13314,1,3,258.6
13315,689,1,310.3
13318,1,3,213.6
13320,78,6,371.3
13321,72,2,283.7
13322,17,1,199.5
13323,3,5,157.6
13325,81,1,675.3
13326,432,1,281.8
13329,31,8,639.1
13330,92,6,467.7
13331,401,1,262.4
13332,14,1,350.9
13333,411,3,338.6
13338,157,4,611.4
13343,177,1,353.4
13345,287,1,389.5
13346,462,6,49.9
13347,70,1,341.4
13348,64,1,233.8
13349,10,1,247.3
13350,16,2,489.6
13351,66,1,373.9
13352,60,1,398
13354,71,1,743.5
13355,122,1,674.7
13356,80,1,768.2
13357,257,5,767.7
13358,268,1,439
13359,63,2,521.7
13360,431,4,388.4
13361,472,2,725.2
13362,9,7,770.6
13363,17,3,574.6
13364,71,1,135
13366,50,1,56.2
13367,431,1,510.2
13368,256,4,280.4
13369,365,1,616.6
13372,89,1,378.6
13374,414,2,211.4
13376,99,3,339.9
13379,26,3,190.9
13380,432,1,62.4
13381,31,12,685.4
13382,280,5,277.5
13383,543,1,305.3
13384,30,11,607.3
13385,329,1,534.6
13386,414,2,417.7
13387,417,1,189.4
13388,131,3,395.2
13389,11,3,266
13390,74,1,544.1
13391,203,1,59.8
13392,677,1,91.1
13393,583,4,282.9
13395,185,3,393.4
13396,29,2,680.5
13397,72,10,319.2
13398,192,2,335.2
13399,464,3,91.8
13400,582,1,310.8
13402,127,4,383.8
13403,17,3,76.5
13404,1,2,126.2
13405,74,6,202.3
13406,427,2,284.5
13407,578,3,748.2
13410,24,9,244.7
13411,107,1,213.6
13412,620,1,487.3
13413,639,6,71.6
13414,133,6,415.7
13415,472,4,200.2
13416,43,3,313.6
13417,4,6,278.2
13419,63,1,221.1
13420,149,2,79.9
13421,40,8,512.9
13423,428,1,217
13424,449,1,572.8
13425,108,5,680.7
13427,19,6,167.8
13428,10,3,166.7
13429,10,4,251.7
13430,18,2,339.7
13431,67,8,414.5
13432,571,2,219.6
13433,501,4,164.6
13434,74,5,333.4
13435,5,9,497.2
13436,1,1,196.9
13437,14,7,486.9
13438,547,1,46.5
13439,255,3,328.9
13440,423,7,185
13441,91,2,360.4
13442,667,3,140
13443,448,6,213.4
13444,374,2,315.8
13445,626,1,241.9
13446,430,11,352.9
13447,23,3,376.4
13448,16,13,710.8
13449,23,1,291.9
13450,26,13,316.9
13451,26,11,653.7
13452,259,3,243.3
13453,165,3,260.6
13454,641,1,219.9
13455,24,6,484.3
13456,17,6,294.5
13457,688,2,74.1
13459,624,2,580.2
13460,29,2,91.7
13461,38,6,693.3
13462,252,5,230.8
13464,58,6,516.3
13465,446,2,465.6
13466,184,5,202.7
13467,10,2,541.9
13469,653,1,82.4
13470,99,2,82.5
13471,1,4,632.9
13472,463,2,296.1
13473,60,8,332.2
13474,236,3,221.3
13475,191,4,357.9
13476,178,5,412.3
13477,37,11,257.7
13478,469,5,443.2
13479,200,4,212.8
13480,416,2,313.9
13481,45,11,348.3
13482,232,2,168
13483,65,1,140.3
13484,241,3,263.6
13485,233,11,274.5
13486,78,3,374.1
13487,57,5,169.4
13489,105,4,112.4
13490,654,1,154.2
13492,136,3,423.3
13493,275,2,309.3
13494,311,1,316.3
13495,7,10,537.4
13496,10,2,326.7
13497,282,6,220.1
13498,730,1,327.4
13499,17,5,231.8
13500,23,4,366.6
13502,16,5,156.1
13503,71,6,317.6
13504,64,1,295.9
13506,316,5,327.8
13507,3,4,619.8
13508,243,2,143.5
13509,8,8,139.3
13510,1,11,414.4
13511,676,1,282.8
13512,260,4,178.3
13513,126,3,274.9
13514,73,4,204
13515,72,6,211
13516,21,4,421.3
13517,59,3,709.5
13518,85,1,659.4
13519,78,2,171.6
13520,58,11,628.1
13521,1,3,364.6
13522,30,1,125.8
13524,40,5,136
13525,14,2,314.4
13526,738,2,591
13527,33,12,390.3
13529,78,2,153.9
13530,634,1,403
13531,205,6,289.8
13532,33,1,210.3
13533,182,3,90.3
13535,402,1,89.5
13536,1,7,492.6
13537,425,2,358.9
13538,43,12,259.4
13539,85,7,224.2
13540,467,3,210.8
13541,427,2,392.6
13543,634,2,719.8
13544,39,6,138.2
13545,390,2,187.3
13546,12,5,218.4
13547,408,1,175.5
13548,96,3,303
13549,25,8,125.7
13550,383,1,349.5
13551,319,2,122.1
13553,674,1,517.8
13554,380,7,234
13555,73,13,692.2
13556,429,2,100.4
13557,28,13,233.3
13558,5,4,151.3
13559,512,2,495
13560,7,1,174.4
13561,215,11,165.5
13562,81,8,604.8
13563,84,2,388.8
13565,19,3,138.3
13566,40,5,341.6
13567,428,4,270.9
13568,173,1,192.8
13569,17,4,223.4
13570,243,1,239.5
13573,50,6,152.7
13574,411,1,421.2
13575,23,5,146.4
13577,25,11,317.2
13578,409,1,147.7
13579,14,5,307.8
13580,406,1,107.8
13581,309,2,140.3
13582,389,2,120.8
13583,155,2,722.5
13584,306,3,130.8
13585,530,3,228.2
13586,541,1,131.5
13587,63,4,418.4
13588,15,9,275.4
13589,14,6,186.8
13591,64,7,299.1
13592,35,4,62
13593,108,14,394.5
13594,52,2,266.7
13595,516,3,272.7
13596,5,2,348.5
13597,400,2,198.4
13598,47,5,157.9
13600,312,2,259.2
13601,45,4,296.3
13602,64,4,256.3
13603,26,1,164.3
13604,658,1,717.6
13605,387,2,261.3
13606,29,3,93.5
13607,40,2,539.2
13608,540,1,236.2
13609,593,1,167.3
13610,12,14,155.4
13611,89,10,332
13613,452,5,208
13614,24,6,393.2
13616,568,2,144.1
13617,40,8,159.8
13618,173,1,177.3
13619,544,2,115.8
13620,528,1,112.3
13621,116,1,213.8
13622,696,1,659
13623,30,10,256.6
13624,388,1,462.1
13625,596,1,301.3
13626,252,2,353.5
13627,59,7,320.8
13628,676,1,310.1
13630,5,7,290.3
13631,99,11,279.1
13632,24,8,456
13635,67,4,749.8
13636,36,5,189.8
13637,52,3,270.2
13638,15,1,122.6
13639,74,2,673.1
13640,611,1,405
13641,640,5,203.3
13642,215,4,128.7
13643,31,10,215.7
13644,16,4,656.1
13645,120,1,252.1
13646,399,2,163.1
13647,9,8,384
13648,400,8,220.5
13649,256,6,279.8
13650,16,10,328.8
13651,35,3,75.6
13652,45,5,514.2
13653,487,1,152.2
13654,43,11,573.5
13655,114,6,380.1
13656,164,4,269.7
13657,10,2,191.1
13658,9,9,669.5
13659,205,12,407.9
13660,400,1,314.6
13661,603,1,325.2
13662,85,11,204.6
13663,179,5,409.5
13665,386,3,570.6
13666,60,5,25.6
13667,149,1,305
13669,50,3,137.8
13670,75,1,349.7
13671,394,1,194.9
13672,301,3,140
13673,18,2,198.5
13674,432,1,240.7
13675,151,2,243.4
13676,539,2,122
13677,404,2,278.1
13678,151,1,232.6
13679,493,3,93.8
13681,17,4,207
13682,187,1,59.5
13683,457,1,258.6
13684,285,4,149.2
13685,2,7,445.6
13686,182,3,136.3
13688,635,1,375.5
13689,63,2,629.8
13690,59,1,172.2
13691,396,1,212.8
13692,24,5,622.9
13693,374,9,223.5
13696,421,3,673.5
13697,38,1,151.3
13698,596,2,232.8
13699,155,2,382.1
13700,26,13,201
13701,446,1,161
13702,445,1,135.2
13703,318,2,212.8
13704,5,9,256.5
13705,7,7,290.8
13706,302,2,315.6
13707,267,5,673.2
13708,271,1,296.9
13710,31,3,169.8
13711,218,9,199.1
13712,246,2,383.2
13713,408,3,247.8
13714,465,1,161.3
13716,269,1,138.3
13717,32,8,220.4
13718,246,2,153.3
13719,15,11,255.9
13720,116,4,200
13721,36,2,370.8
13722,131,10,563.5
13723,217,6,201.5
13724,637,1,213
13725,49,8,247.6
13726,38,2,539.8
13727,28,8,135
13729,435,3,241.6
13730,135,2,376.3
13731,219,2,305.3
13732,28,1,491.9
13733,410,2,243.5
13735,24,13,754.9
13736,5,7,395.2
13737,200,1,339.6
13738,396,1,440.9
13739,18,2,146.1
13740,240,5,319.6
13741,71,3,222.8
13742,16,12,260.9
13743,2,7,191.7
13744,95,2,578.2
13745,162,2,388.7
13746,413,1,176.7
13747,373,2,124.7
13748,95,9,252
13750,53,11,327.5
13751,288,1,296.2
13752,124,7,227.2
13753,287,4,523.6
13754,151,3,149
13755,3,9,240.1
13757,674,1,195.6
13758,11,15,627.8
13759,33,2,329.7
13760,54,5,272.7
13761,50,6,325.4
13762,218,5,494.5
13764,70,6,492.2
13765,653,1,352.8
13766,495,1,190.3
13768,726,2,438
13770,422,4,196.3
13771,64,9,636.5
13772,33,8,389.3
13773,396,2,150.8
13774,81,1,345
13776,428,2,312
13778,103,4,281.1
13779,515,1,161.1
13780,7,3,245.3
13781,250,3,259.6
13782,12,13,138
13783,487,4,385.5
13784,9,14,207.9
13785,428,4,135.6
13786,367,6,559.8
13787,75,6,203.8
13788,505,1,3.8
13789,388,1,239.5
13790,4,1,348.8
13791,127,2,758
13792,66,3,128
13793,646,1,96
13794,546,1,126
13795,388,4,209.1
13796,499,1,289.7
13797,436,3,393.2
13799,116,9,311.5
13800,309,3,559.9
13801,66,1,324.8
13803,255,3,446.3
13804,30,9,356.5
13805,52,2,462.3
13806,63,1,256.4
13807,367,3,178.3
13808,5,5,349.5
13809,305,3,226.6
13810,28,3,499.7
13811,183,3,271.5
13812,42,3,179.7
13813,39,8,345.7
13814,92,3,752.4
13816,23,2,285.8
13817,29,2,191.5
13818,429,1,61.3
13819,301,6,440.4
13820,418,3,220.2
13821,144,6,235.1
13822,5,2,316
13823,18,7,486.2
13824,32,12,276.2
13825,621,2,127.8
13826,176,1,189.5
13827,57,3,137.3
13828,22,1,209.5
13829,421,1,102
13830,581,1,156.9
13832,19,2,306.8
13833,159,2,350.7
13834,576,2,162.1
13835,25,7,156.5
13836,399,2,310.2
13837,211,2,135.6
13838,5,10,196.6
13839,486,1,140
13840,416,1,651.4
13841,252,1,85
13843,381,1,319.8
13844,11,1,361.6
13845,64,1,313
13846,24,4,326.9
13847,719,1,310.7
13848,92,8,416.9
13849,51,5,693.9
13851,95,8,575.8
13852,610,1,187.4
13855,500,4,327.6
13856,168,11,103.8
13857,393,6,166.8
13858,57,1,216.2
13859,326,2,257.9
13860,1,5,249.2
13861,429,2,136.6
13862,18,9,284
13863,247,4,309.9
13864,386,1,662.4
13865,58,4,125.4
13866,74,1,145.7
13867,31,3,338.4
13870,2,15,380.8
13872,527,3,306.5
13873,119,8,129.9
13874,358,7,292.7
13875,53,14,343.9
13876,63,1,122.7
13877,86,3,149.9
13878,54,4,618.3
13879,645,1,395.5
13882,2,5,238.2
13883,10,15,437.3
13884,7,10,188.8
13885,189,2,253.4
13886,71,1,243.6
13887,204,1,349.6
13888,119,7,309.9
13889,92,6,331.9
13890,1,14,209.1
13891,378,3,287.9
13892,26,6,211.3
13894,23,3,188.2
13895,28,6,668.1
13896,625,1,388.6
13897,50,3,386.9
13898,325,2,343.2
13899,16,2,194.3
13900,183,6,268.4
13901,72,15,378.4
13903,400,1,165.5
13904,37,2,166.3
13905,732,1,312.7
13906,409,1,42
13907,691,1,136.8
13908,79,4,592.4
13909,423,2,143.3
13912,423,1,125
13913,506,1,42.2
13914,11,2,313.2
13915,394,1,70.8
13916,463,4,319
13917,49,2,136
13918,49,2,606.4
13919,59,4,340.2
13920,431,4,443.7
13921,402,4,182.7
13922,351,3,288.4
13923,53,1,351.1
13924,1,6,306.5
13925,92,4,169.6
13926,23,1,223.9
13927,74,2,354.1
13928,10,4,116.1
13929,169,11,317.6
13930,57,2,168.7
13931,95,11,477.9
13932,294,1,307.4
13933,109,2,304.4
13936,179,3,313.2
13937,169,2,440.1
13938,35,1,71.7
13939,23,7,223
13940,17,4,209.8
13941,21,15,741.5
13942,534,1,320
13943,577,1,246.5
13944,653,1,200.4
13945,394,2,427.1
13946,79,6,312.7
13947,65,1,90.6
13948,360,4,137.2
13949,2,6,404.6
13950,11,4,186.3
13951,176,3,224.8
13953,7,12,553.4
13954,1,2,220
13955,154,3,181.7
13956,5,5,205.3
13957,417,3,152.8
13958,379,8,588.7
13959,79,6,179.4
13960,21,2,115.1
13961,392,1,538.4
13962,21,3,120.9
13964,387,2,219.4
13965,476,3,332.2
